Date, Open, High, Low, Close, Volume
05/02/25, 1.12, 1.15, 1.11, 1.12, 27604301
04/30/25, 1.11, 1.12, 1.10, 1.12, 24910699
04/29/25, 1.12, 1.14, 1.11, 1.12, 11604600
04/28/25, 1.13, 1.14, 1.11, 1.13, 15925900
04/25/25, 1.16, 1.16, 1.10, 1.13, 43848801
04/24/25, 1.19, 1.20, 1.14, 1.16, 36453898
04/23/25, 1.19, 1.21, 1.18, 1.21, 14668900
04/22/25, 1.16, 1.20, 1.14, 1.17, 23615100
04/21/25, 1.17, 1.18, 1.15, 1.17, 13844000
04/17/25, 1.17, 1.18, 1.15, 1.18, 19168100
04/16/25, 1.14, 1.19, 1.14, 1.16, 21057301
04/15/25, 1.10, 1.18, 1.10, 1.14, 33624473
04/14/25, 1.10, 1.13, 1.10, 1.10, 18107199
04/11/25, 1.05, 1.09, 1.03, 1.08, 33601102
04/10/25, 1.15, 1.17, 1.06, 1.07, 74353297
04/09/25, 1.12, 1.13, 1.03, 1.05, 74308398
04/08/25, 1.20, 1.22, 1.14, 1.15, 63765441
04/07/25, 1.29, 1.29, 1.18, 1.20, 65222602
04/04/25, 1.32, 1.34, 1.30, 1.31, 34146301
04/03/25, 1.31, 1.34, 1.29, 1.34, 25229100
04/02/25, 1.32, 1.34, 1.31, 1.32, 17977301
04/01/25, 1.32, 1.34, 1.31, 1.32, 28052199
03/28/25, 1.31, 1.32, 1.30, 1.31, 13719100
03/27/25, 1.32, 1.33, 1.31, 1.32, 6949900
03/26/25, 1.33, 1.34, 1.30, 1.32, 13022100
03/25/25, 1.33, 1.33, 1.31, 1.32, 8420200
03/24/25, 1.32, 1.33, 1.31, 1.32, 11839100
03/21/25, 1.32, 1.32, 1.30, 1.32, 28758801
03/20/25, 1.31, 1.32, 1.30, 1.32, 22925900
03/19/25, 1.28, 1.31, 1.28, 1.29, 25498699
03/18/25, 1.30, 1.31, 1.28, 1.29, 22558000
03/17/25, 1.30, 1.31, 1.28, 1.30, 18121600
03/14/25, 1.30, 1.31, 1.28, 1.30, 25837100
03/13/25, 1.29, 1.31, 1.28, 1.30, 19141199
03/12/25, 1.25, 1.30, 1.24, 1.29, 44400000
03/11/25, 1.23, 1.26, 1.22, 1.25, 27718699
03/10/25, 1.25, 1.26, 1.23, 1.24, 10214700
03/07/25, 1.25, 1.25, 1.24, 1.25, 9708000
03/06/25, 1.25, 1.27, 1.25, 1.26, 16361400
03/05/25, 1.23, 1.26, 1.23, 1.25, 19022100
03/04/25, 1.24, 1.25, 1.23, 1.24, 15325200
03/03/25, 1.24, 1.25, 1.23, 1.24, 20495100
02/28/25, 1.24, 1.26, 1.23, 1.23, 34903699
02/27/25, 1.24, 1.25, 1.23, 1.24, 15292400
02/26/25, 1.24, 1.24, 1.22, 1.23, 6899000
02/25/25, 1.22, 1.25, 1.22, 1.24, 20328900
02/24/25, 1.21, 1.24, 1.20, 1.22, 29278199
02/21/25, 1.21, 1.22, 1.20, 1.21, 11284600
02/20/25, 1.21, 1.23, 1.20, 1.21, 14494700
02/19/25, 1.21, 1.22, 1.20, 1.20, 16621100
02/18/25, 1.23, 1.23, 1.21, 1.22, 16208300
02/17/25, 1.23, 1.24, 1.22, 1.23, 12502400
02/14/25, 1.22, 1.25, 1.21, 1.22, 21518400
02/13/25, 1.20, 1.22, 1.20, 1.22, 19375840
02/12/25, 1.21, 1.23, 1.20, 1.21, 13614700
02/11/25, 1.22, 1.24, 1.21, 1.21, 27802801
02/10/25, 1.23, 1.24, 1.21, 1.22, 13113700
02/07/25, 1.23, 1.25, 1.23, 1.23, 18735000
02/06/25, 1.22, 1.25, 1.21, 1.23, 30338900
02/05/25, 1.21, 1.22, 1.20, 1.22, 11519700
02/04/25, 1.21, 1.22, 1.20, 1.22, 12158900
