Date, Open, High, Low, Close, Volume
04/30/25, 547.57, 556.52, 541.52, 554.54, 93101453
04/29/25, 548.91, 555.45, 548.55, 554.32, 47775121
04/28/25, 551.39, 553.55, 545.02, 550.85, 47613762
04/25/25, 546.65, 551.05, 543.69, 550.64, 61119594
04/24/25, 536.715, 547.43, 535.4504, 546.69, 64150422
04/23/25, 540.43, 545.43, 533.88, 535.42, 90590656
04/22/25, 520.14, 529.305, 519.1925, 527.25, 75948117
04/21/25, 521.16, 521.70, 508.46, 513.88, 69368125
04/17/25, 527.64, 531.165, 523.91, 526.41, 79868078
04/16/25, 531.68, 537.8854, 520.29, 525.66, 83484805
04/15/25, 539.675, 543.23, 536.81, 537.61, 56892871
04/14/25, 544.05, 544.28, 533.86, 539.12, 68033992
04/11/25, 523.01, 536.43, 520.07, 533.94, 97866328
04/10/25, 532.17, 533.495, 509.32, 524.58, 162331203
04/09/25, 493.44, 548.62, 493.05, 548.62, 241867297
04/08/25, 521.86, 524.98, 489.16, 496.48, 165816609
04/07/25, 489.19, 523.17, 481.80, 504.38, 256611391
04/04/25, 523.67, 525.87, 505.06, 505.28, 217965109
04/03/25, 545.11, 547.97, 536.70, 536.70, 125986000
04/02/25, 555.05, 567.42, 554.81, 564.52, 76014547
04/01/25, 557.45, 562.94, 553.68, 560.97, 54609641
03/31/25, 549.83, 560.7112, 546.87, 559.39, 95328211
03/28/25, 565.53, 566.2675, 555.07, 555.66, 71662648
03/27/25, 567.18, 570.90, 564.94, 567.08, 42164246
03/26/25, 575.19, 576.33, 567.19, 568.59, 52228898
03/25/25, 575.30, 576.41, 573.69, 575.46, 38355738
03/24/25, 570.80, 575.15, 570.20, 574.08, 58766801
03/21/25, 559.28, 564.89, 558.03, 563.98, 83762961
03/20/25, 563.33, 570.57, 562.6012, 565.49, 62958199
03/19/25, 562.83, 570.95, 561.63, 567.13, 66555992
03/18/25, 564.80, 565.02, 559.06, 561.02, 66041422
03/17/25, 562.79, 569.71, 562.35, 567.15, 49008711
03/14/25, 556.11, 563.83, 551.4917, 562.81, 62660320
03/13/25, 558.49, 559.105, 549.68, 551.42, 74079406
03/12/25, 562.17, 563.11, 553.69, 558.87, 69588172
03/11/25, 559.40, 564.02, 552.02, 555.92, 88102109
03/10/25, 567.59, 569.54, 555.59, 560.58, 99326625
03/07/25, 570.90, 577.39, 565.63, 575.92, 81158812
03/06/25, 575.48, 580.1736, 570.12, 572.71, 80094875
03/05/25, 576.69, 584.88, 573.0795, 583.06, 71230531
03/04/25, 579.71, 585.39, 572.25, 576.86, 109648203
03/03/25, 596.18, 597.34, 579.90, 583.77, 74249203
02/28/25, 585.56, 594.72, 582.44, 594.18, 88744109
02/27/25, 596.85, 598.02, 584.65, 585.05, 74196656
02/26/25, 595.93, 599.58, 591.8556, 594.54, 43321578
02/25/25, 597.15, 597.89, 589.56, 594.24, 58266473
02/24/25, 602.02, 603.03, 596.49, 597.21, 50737207
02/21/25, 610.16, 610.30, 599.47, 599.94, 76519820
02/20/25, 611.54, 611.684, 607.02, 610.38, 36554000
02/19/25, 610.08, 613.23, 609.56, 612.93, 31011070
02/18/25, 610.88, 611.49, 608.38, 611.49, 26749029
02/14/25, 609.94, 610.99, 609.07, 609.70, 26910449
02/13/25, 604.48, 609.94, 603.20, 609.73, 40921301
02/12/25, 599.20, 604.55, 598.51, 603.36, 45076078
02/11/25, 602.55, 605.86, 602.43, 605.31, 30056740
02/10/25, 604.03, 605.4999, 602.74, 604.85, 26048711
02/07/25, 606.89, 608.13, 600.05, 600.77, 50788520
02/06/25, 605.99, 606.4525, 602.63, 606.32, 35771500
02/05/25, 600.64, 604.37, 598.58, 604.22, 30653150
02/04/25, 597.83, 602.30, 597.28, 601.78, 33457820
02/03/25, 592.67, 600.29, 590.49, 597.77, 65857250
01/31/25, 607.50, 609.96, 601.05, 601.82, 66671469
01/30/25, 603.96, 606.60, 600.715, 605.04, 39281262
01/29/25, 603.72, 604.13, 599.22, 601.81, 37177434
01/28/25, 600.62, 605.37, 597.25, 604.52, 44433320
01/27/25, 594.81, 599.69, 594.64, 599.37, 70361125
01/24/25, 609.81, 610.78, 606.80, 607.97, 34604688
01/23/25, 605.80, 609.75, 605.52, 609.75, 41152102
01/22/25, 605.92, 607.82, 605.36, 606.44, 48195969
01/21/25, 600.67, 603.06, 598.67, 603.05, 42532848
01/17/25, 596.96, 599.36, 595.61, 597.58, 58070633
01/16/25, 594.175, 594.35, 590.93, 591.64, 43319660
01/15/25, 590.325, 593.94, 589.195, 592.78, 56900160
01/14/25, 584.36, 585.00, 578.35, 582.19, 48420578
01/13/25, 575.77, 581.75, 575.35, 581.39, 47910059
01/10/25, 585.88, 585.95, 578.55, 580.49, 73105047
01/08/25, 588.70, 590.5799, 585.195, 589.49, 47304672
01/07/25, 597.42, 597.75, 586.78, 588.63, 60393047
01/06/25, 596.27, 599.70, 593.60, 595.36, 47679441
01/03/25, 587.53, 592.60, 586.43, 591.95, 37888461
01/02/25, 589.39, 591.13, 580.50, 584.64, 50203980
12/31/24, 589.905, 590.6399, 584.42, 586.08, 57052648
12/30/24, 587.89, 591.74, 584.41, 588.22, 56578762
12/27/24, 597.54, 597.7761, 590.7647, 595.01, 64969312
12/26/24, 599.50, 602.48, 598.0825, 601.34, 41338887
12/24/24, 596.06, 601.34, 595.47, 601.30, 33160102
12/23/24, 590.89, 595.30, 587.661, 594.69, 57635832
12/20/24, 581.77, 595.75, 580.91, 591.15, 125716703
12/19/24, 591.36, 593.00, 585.85, 586.10, 85919445
12/18/24, 603.98, 606.405, 585.89, 586.28, 108248703
12/17/24, 604.19, 605.17, 602.885, 604.29, 55773551
12/16/24, 606.00, 607.7795, 605.21, 606.79, 43695180
12/13/24, 606.40, 607.13, 602.81, 604.21, 35904727
12/12/24, 606.58, 607.16, 604.33, 604.33, 31543811
12/11/24, 605.78, 608.435, 605.50, 607.46, 28677721
12/10/24, 605.37, 605.80, 602.13, 602.80, 37234520
12/09/24, 607.69, 607.86, 604.08, 604.68, 34742738
12/06/24, 607.44, 609.07, 607.02, 607.81, 31241551
12/05/24, 607.66, 608.48, 606.305, 606.66, 28762180
12/04/24, 605.63, 607.91, 604.95, 607.66, 42787559
12/03/24, 603.39, 604.16, 602.341, 603.91, 26906631
12/02/24, 602.97, 604.32, 602.47, 603.63, 31745990
11/29/24, 599.66, 603.35, 599.3805, 602.55, 30177350
11/27/24, 600.46, 600.85, 597.28, 598.83, 34000160
11/26/24, 598.80, 601.33, 598.07, 600.65, 45621289
11/25/24, 599.52, 600.86, 595.20, 597.53, 42441391
11/22/24, 593.66, 596.15, 593.1525, 595.51, 38226391
11/21/24, 593.40, 595.12, 587.45, 593.67, 46750289
11/20/24, 590.38, 590.79, 584.63, 590.50, 50032578
11/19/24, 584.71, 591.045, 584.03, 590.30, 49412047
11/18/24, 586.22, 589.49, 585.34, 588.15, 37084078
11/15/24, 589.72, 590.20, 583.86, 585.75, 75988766
11/14/24, 597.32, 597.81, 592.65, 593.35, 38904113
11/13/24, 597.37, 599.23, 594.96, 597.19, 47388641
11/12/24, 598.68, 599.29, 594.37, 596.90, 43006129
11/11/24, 599.81, 600.17, 597.00, 598.76, 37586770
11/08/24, 596.17, 599.64, 596.165, 598.19, 46444887
11/07/24, 593.08, 596.65, 592.9999, 595.61, 47233207
11/06/24, 589.20, 591.93, 585.39, 591.04, 68181969
11/05/24, 570.74, 576.74, 570.52, 576.70, 39478320
11/04/24, 571.18, 572.50, 567.89, 569.81, 38216980
11/01/24, 571.32, 575.55, 570.62, 571.04, 45667527
10/31/24, 575.56, 575.63, 568.44, 568.64, 60182449
10/30/24, 581.29, 583.32, 579.29, 580.01, 41435840
10/29/24, 579.85, 582.907, 578.43, 581.77, 42899660
10/28/24, 582.58, 582.71, 580.52, 580.83, 30174699
10/25/24, 581.51, 584.46, 578.08, 579.04, 47268180
10/24/24, 579.98, 580.06, 576.57, 579.24, 34979859
10/23/24, 581.26, 581.7086, 574.415, 577.99, 49314566
10/22/24, 581.05, 584.50, 580.38, 583.32, 34183840
10/21/24, 583.85, 584.85, 580.6001, 583.63, 36439008
10/18/24, 584.07, 585.39, 582.58, 584.59, 37416801
10/17/24, 585.91, 586.12, 582.16, 582.35, 34393711
10/16/24, 579.78, 582.83, 578.96, 582.30, 30725439
10/15/24, 584.59, 584.90, 578.545, 579.78, 54203641
10/14/24, 581.22, 585.27, 580.73, 584.32, 36217219
10/11/24, 576.05, 580.33, 575.91, 579.58, 42267992
10/10/24, 575.77, 577.58, 574.49, 576.13, 44138059
10/09/24, 573.16, 577.71, 572.55, 577.14, 37912238
10/08/24, 570.42, 573.78, 569.5299, 573.17, 37398688
10/07/24, 571.30, 571.9599, 566.63, 567.80, 49964688
10/04/24, 572.35, 573.36, 568.10, 572.98, 43005191
10/03/24, 567.36, 569.8025, 565.49, 567.82, 40846473
10/02/24, 567.71, 569.90, 565.27, 568.86, 38097801
10/01/24, 573.40, 574.0622, 566.00, 568.62, 72668781
09/30/24, 570.42, 574.38, 568.08, 573.76, 63655449
09/27/24, 573.39, 574.22, 570.42, 571.47, 42100930
09/26/24, 574.38, 574.71, 569.90, 572.30, 48336000
09/25/24, 571.14, 571.89, 568.91, 570.04, 38428594
09/24/24, 570.48, 571.36, 567.60, 571.30, 46805672
09/23/24, 569.34, 570.3325, 568.10, 569.67, 44116922
09/20/24, 567.84, 569.31, 565.17, 568.25, 77503109
09/19/24, 571.01, 572.88, 568.08, 570.98, 75315469
09/18/24, 563.74, 568.69, 560.83, 561.40, 59044941
09/17/24, 565.10, 566.58, 560.795, 563.07, 49320969
09/16/24, 561.74, 563.11, 559.90, 562.84, 36656121
09/13/24, 559.71, 563.03, 559.45, 562.01, 39310500
09/12/24, 555.01, 559.40, 552.74, 559.09, 51892738
09/11/24, 548.70, 555.36, 539.96, 554.42, 75248609
09/10/24, 548.36, 549.15, 543.38, 548.79, 36394578
09/09/24, 544.65, 547.71, 542.68, 546.41, 40445820
09/06/24, 549.94, 551.60, 539.44, 540.36, 68493805
09/05/24, 550.89, 553.7995, 547.10, 549.61, 44264262
09/04/24, 550.20, 554.43, 549.46, 550.95, 47224941
09/03/24, 560.47, 560.81, 549.51, 552.08, 60523000
08/30/24, 560.77, 564.20, 557.14, 563.68, 62700113
08/29/24, 560.31, 563.68, 557.18, 558.35, 38715180
08/28/24, 561.21, 561.65, 555.04, 558.30, 41066020
08/27/24, 559.49, 562.06, 558.32, 561.56, 32693900
08/26/24, 563.18, 563.91, 559.05, 560.79, 35788609
08/23/24, 559.53, 563.09, 557.29, 562.13, 50639391
08/22/24, 562.56, 563.18, 554.98, 556.22, 56121461
08/21/24, 559.77, 562.11, 554.73, 560.62, 41514602
08/20/24, 559.15, 560.84, 557.325, 558.70, 33732262
08/19/24, 554.73, 559.61, 553.86, 559.61, 39121793
08/16/24, 551.42, 555.02, 551.26, 554.31, 44430727
08/15/24, 549.50, 553.36, 548.88, 553.07, 60846809
08/14/24, 542.85, 544.96, 540.12, 543.75, 42446930
08/13/24, 536.53, 542.28, 536.28, 542.04, 52333070
08/12/24, 534.21, 535.73, 530.95, 533.27, 42542070
08/09/24, 529.81, 534.51, 528.56, 532.99, 45619559
08/08/24, 523.91, 531.29, 521.84, 530.65, 63276594
08/07/24, 528.47, 531.59, 518.0519, 518.66, 70698336
08/06/24, 519.22, 529.75, 517.87, 522.15, 84826312
08/05/24, 511.64, 523.58, 510.27, 517.38, 146267391
08/02/24, 535.75, 536.99, 528.60, 532.90, 82789070
08/01/24, 552.57, 554.8688, 539.43, 543.01, 76428727
07/31/24, 548.98, 553.50, 547.5799, 550.81, 65663391
07/30/24, 546.26, 547.34, 538.515, 542.00, 46853633
07/29/24, 546.02, 547.05, 542.72, 544.76, 39515820
07/26/24, 542.28, 547.19, 541.49, 544.44, 53763793
07/25/24, 541.35, 547.455, 537.45, 538.41, 61158289
07/24/24, 548.86, 549.17, 540.29, 541.23, 74515273
07/23/24, 554.54, 556.735, 553.275, 553.78, 34439559
07/22/24, 553.00, 555.27, 551.02, 554.65, 43346719
07/19/24, 552.42, 554.08, 547.91, 548.99, 65509078
07/18/24, 558.51, 559.52, 550.43, 552.66, 56270391
07/17/24, 558.80, 560.51, 556.61, 556.94, 57118961
07/16/24, 562.865, 565.16, 562.10, 564.86, 36475262
07/15/24, 562.03, 564.8371, 559.63, 561.53, 40584289
